commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp
1 2 3 (ONE TWO THREE) 20 F.C.TABS.,1 2 3,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,HIKMA PHARMA,COLD PRODUCTS,ORAL.SOLID,10.0
1 2 3 (ONE TWO THREE) EXTRA 20 F.C.TABS.,1 2 3 إكسترا,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,HIKMA PHARMA,COLD PRODUCTS,ORAL.SOLID,64.0
1 2 3 (ONE TWO THREE) SUSP. 120 ML,1 2 3,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,HIKMA PHARMA,COLD PRODUCTS,ORAL.LIQUID,7.0
2HC F.C.T 20 TABLETS,2هك ف.ك.ت,VITAMIN C 1 GM,ORGANIX > NOVACURE,VITAMIN C   ANTIOXIDANT,ORAL.SOLID,37.0
2M WHITES BEEGU MARIN SPRAY,2م وهيتيس بيجو مارين,SEA WATER+EUCALYPTUS+GLYCERIN+HYALURONIC ACID,NILL FACTORY COSMETICS > 2M WHITES PHARMA,SOOTHING & MOISTURIZING SPRAY,UNKNOWN,32.0
3 FLY 1200 MG 20 TABS.,3 فلي,PALMITOYLETHANOLAMIDE(PEA),COPAD > DRUG PHARMA EGYPT,NEUROPATHIC PAIN,ORAL.SOLID,26.0
3 FLY 300 MG 20 TABS.,3 فلي,PALMITOYLETHANOLAMIDE(PEA),COPAD > DRUG PHARMA EGYPT,NEUROPATHIC PAIN,ORAL.SOLID,36.0
3 FLY 400 MG 20 TABS,3 فلي,PALMITOYLETHANOLAMIDE,COPAD EGYPT > DRUG PHARMA EGYPT,MANAGEMENT OF NEUROPATHIC PAIN,ORAL.SOLID,65.0
3 FLY 600 MG 20 TABS.,3 فلي,PALMITOYLETHANOLAMIDE(PEA),COPAD > DRUG PHARMA EGYPT,TABLET FOR NEUROPATHIC PAIN,ORAL.SOLID,32.0
4 WET INTIMATE GEL 100 ML,4 ويت إنتيماتي,,TURKUAZ MEDICAL CO. > BROTHER PHARMA,TOPICAL LUBRICANT,TOPICAL,40.0
5-FLUOROURACIL-EBEWE 250MG/5ML I.V. VIAL,5-فلووروراسيل-إبيوي /,FLUOROURACIL,EBEWE > NOVARTIS PHARMA SANDOZ DIVISION,ANTINEOPLASTIC,INJECTION,47.5
5-HT 200 MG 60 CAPS. (ILLEGAL IMPORT),5-هت,L-5-HYDROXY-TRYPTOPHAN,PURITANS PRIDE,.,ORAL.SOLID,44.0
9999999999RR,9999999999رر,,DRUGEYR > DRUGEYE,,ORAL.SOLID,12.0
A-VITON 50.000 I.U. 20 CAPS.,أ-فيتون 50.000 إ.أو,VITAMIN A,KAHIRA,VITAMIN A,ORAL.SOLID,5.0
